"","area_name","area_code","covid_rate","area","popden","under15","age_15_64","over_65","white","black","asian_indian","asian_bang","asian_chin","mixed_ethnicity","other_ethnicity","BAME","imd","imd_income","imd_emp","imd_edu","imd_health","imd_crime","imd_house","imd_living_env","imd_daci","imd_daopi"
"60","Kingston upon Hull, City of","E06000010",41.3640866438383,7144.92,35.9,17.6579331216898,68.4067455519762,13.935321326334,94.0059904994423,1.16845939642598,0.423547030880713,0.29445488795114,0.828373751004267,1.3470823615672,0.843974009968566,2.7148350662621,41.235,0.257,0.202,44.134,0.7,0.808,23.165,34.709,0.34,0.284
"61","Kingston upon Thames","E09000021",21.198300637261,3724.69,43,17.787704610771,69.4933150068724,12.7189803823566,74.4245907784581,2.51218293140072,3.95164313382482,0.557291015869049,1.80119955016869,3.91665625390479,2.74834437086093,8.82231663126328,11.125,0.088,0.061,7.36,-1.104,-0.155,22.252,25.924,0.123,0.127
"62","Kirklees","E08000034",46.1915740736357,40859.65,10.3,19.0634335247528,65.7516250136108,15.1849414616364,79.0876252787259,1.87119192913852,4.9228562365963,0.173034952587003,0.343702805959409,2.31739013108995,0.641720597077106,7.31078592428123,23.964,0.156,0.134,24.717,0.204,0.121,19.763,30.646,0.192,0.17
"63","Knowsley","E08000011",53.9573523061422,8646.93,16.9,18.2551596032709,65.9702658797886,15.7745745169405,97.2301618309309,0.34614409190297,0.320097605779578,0.00685433845352416,0.305703495027177,1.31123494615917,0.146682842905417,0.97879953116325,41.387,0.276,0.233,40.411,1.4,0.129,17.13,21.934,0.337,0.326
"64","Lambeth","E09000022",18.7702500280448,2682.14,113,17.1010868202424,75.2486093056096,7.65030387414793,57.0234190955702,25.9140969889734,1.6440878166593,0.732795312221614,1.50881268022937,7.64139551150499,2.44847996938163,29.7997927980837,28.913,0.191,0.122,11.457,0.199,1.019,29.824,43.368,0.304,0.332
"65","Lancashire","E10000017",41.3116954186619,290320.2,4,17.077805827348,64.8921448018038,18.0300493708482,92.1907321450067,0.349856019478563,1.64017419380726,0.496098909026337,0.410726527503993,1.0862781824903,0.236993731106025,2.89685564981615,22.495,0.141,0.126,20.125,0.493,-0.03,14.379,26.072,0.18,0.162
"66","Leeds","E08000035",48.1207209724745,55172.44,13.6,17.1117187967824,68.3040912326926,14.584189970525,85.005023387027,3.44557775604303,2.14641676147894,0.589765597450382,0.789503449835991,2.61242739376035,1.09516490681783,6.97126356480835,26.623,0.16,0.128,26.477,0.435,0.303,19.849,31.862,0.225,0.18
"67","Leicester","E06000016",54.4053310857721,7331.48,45,19.7790437152671,68.937875751503,11.2830805332298,50.3939800933183,6.24092360212104,28.2971389071638,1.10417506722977,1.28699153223239,3.51080375577176,2.5976309654104,36.929229108747,33.065,0.221,0.153,38.007,0.554,0.55,17.932,34.567,0.284,0.315
"68","Leicestershire","E10000018",31.1042923093242,208287.86,3.1,16.8027437819856,65.4510683501181,17.7461878678963,91.3706457757164,0.582177408073004,4.3963848735336,0.35557864929307,0.538364215228851,1.31454951582579,0.400775416648091,5.87250514612853,12.457,0.09,0.078,17.343,-0.567,-0.201,17.723,13.057,0.12,0.113
"69","Lewisham","E09000023",15.8326839081501,3514.54,78.5,19.5505373615818,70.9763125940156,9.47315004440256,53.4563314424488,27.164216974464,1.66736140058358,0.50310817913261,2.23426427678199,7.4204831723363,2.62826902513729,31.5689508309622,28.591,0.2,0.134,14.956,0.207,0.761,30.446,36.001,0.296,0.257
